SUBMITTED_ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0011282,FBgn0011282,CG1176,84D3-84D3,84D-84D,3-48 <newline> 3-44.2,-,-,SO0000010:protein_coding_gene,sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence alignment with UniProtKB:P34174 <newline> sensory perception of chemical stimulus ; GO:0007606 | inferred from sequence or structural similarity with lush,extracellular region ; GO:0005576 | inferred from sequence model,pheromone binding ; GO:0005550 | inferred from sequence or structural similarity <newline> odorant binding ; GO:0005549 | inferred from sequence alignment with UniProtKB:P34174 <newline> odorant binding ; GO:0005549 | inferred from sequence or structural similarity with lush,3R,7251957,7250725,-1,-,Odorant-binding protein 84a,Mar-48,Obp84a
FBgn0011591,FBgn0011591,CG10580,78A1-78A1,78A-78A <newline> 78A1-78A2; (determined by in situ hybridisation) <newline> 78A-78A; (determined by in situ hybridisation),3-47 <newline> 3-43.8,-,-,SO0000010:protein_coding_gene,"compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> regulation of Notch signaling pathway ; GO:0008593 | non-traceable author statement <newline> germarium-derived egg chamber formation ; GO:0007293 | inferred from mutant phenotype <newline> regulation of Notch signaling pathway ; GO:0008593 | traceable author statement <newline> cuticle pattern formation ; GO:0035017 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | inferred from direct assay <newline> negative regulation of Notch signaling pathway ; GO:0045746 | non-traceable author statement <newline> oogenesis ; GO:0048477 | traceable author statement <newline> regulation of Notch signaling pathway ; GO:0008593 | inferred from direct assay <newline> imaginal disc-derived wing margin morphogenesis ; GO:0008587 | inferred from mutant phenotype <newline> cell fate specification ; GO:0001708 | non-traceable author statement <newline> dorsal/ventral lineage restriction, imaginal disc ; GO:0007451 | traceable author statement <newline> dorsal/ventral pattern formation, imaginal disc ; GO:0007450 | inferred from direct assay <newline> Notch signaling pathway ; GO:0007219 | inferred from direct assay <newline> wing disc dorsal/ventral pattern formation ; GO:0048190 | inferred from genetic interaction with Bx, ap <newline> fucose metabolic process ; GO:0006004 | inferred from direct assay <newline> female germ-line stem cell population maintenance ; GO:0036099 | inferred from mutant phenotype <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from direct assay <newline> imaginal disc-derived leg segmentation ; GO:0036011 | inferred from mutant phenotype <newline> protein O-linked glycosylation ; GO:0006493 | inferred from mutant phenotype <newline> regulation of Notch signaling pathway ; GO:0008593 | inferred from mutant phenotype <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype <newline> fucose metabolic process ; GO:0006004 | inferred from mutant phenotype",integral component of Golgi membrane ; GO:0030173 | inferred from electronic annotation with InterPro:IPR017374 <newline> Golgi apparatus ; GO:0005794 | inferred from direct assay <newline> Golgi medial cisterna ; GO:0005797 | inferred from direct assay <newline> Golgi apparatus ; GO:0005794 | traceable author statement <newline> Golgi stack ; GO:0005795 | inferred from direct assay <newline> endoplasmic reticulum ; GO:0005783 | inferred from direct assay,O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity ; GO:0033829 | inferred from direct assay <newline> acetylglucosaminyltransferase activity ; GO:0008375 | inferred from direct assay <newline> acetylglucosaminyltransferase activity ; GO:0008375 | traceable author statement <newline> UDP-glycosyltransferase activity ; GO:0008194 | inferred from direct assay,3L,20949512,20925891,-1,-,fringe,Mar-47,fng
FBgn0011661,FBgn0011661,CG10701,8B4-8B6,8B4-8B4; (determined by in situ hybridisation) <newline> 8B1-8B4; (determined by in situ hybridisation) 8B3--7 (determined by in situ hybridisation) <newline> 8B-8B <newline> 8B1-8B4; (determined by in situ hybridisation) <newline> 8E3-8E4; (determined by in situ hybridisation) <newline> 8B-8C,1-25 <newline> 1-26.1,-,-,SO0000010:protein_coding_gene,"regulation of cell shape ; GO:0008360 | inferred from mutant phenotype <newline> positive regulation of mitotic spindle elongation ; GO:1902846 | inferred from mutant phenotype <newline> pole plasm protein localization ; GO:0007318 | traceable author statement <newline> establishment or maintenance of apical/basal cell polarity ; GO:0035088 | traceable author statement <newline> microtubule anchoring ; GO:0034453 | inferred from mutant phenotype <newline> positive regulation of endocytosis ; GO:0045807 | inferred from mutant phenotype <newline> cytoskeleton organization ; GO:0007010 | traceable author statement <newline> establishment or maintenance of polarity of larval imaginal disc epithelium ; GO:0016336 | inferred from mutant phenotype <newline> establishment or maintenance of epithelial cell apical/basal polarity ; GO:0045197 | inferred from mutant phenotype <newline> anterior/posterior pattern specification ; GO:0009952 | traceable author statement <newline> cortical actin cytoskeleton organization ; GO:0030866 | inferred from mutant phenotype <newline> lumen formation, open tracheal system ; GO:0035149 | inferred from mutant phenotype <newline> male courtship behavior, veined wing generated song production ; GO:0045433 | inferred from mutant phenotype <newline> actin filament-based process ; GO:0030029 | non-traceable author statement <newline> RNA export from nucleus ; GO:0006405 | inferred from mutant phenotype <newline> eye photoreceptor cell development ; GO:0042462 | traceable author statement <newline> determination of left/right symmetry ; GO:0007368 | inferred from mutant phenotype <newline> rhabdomere membrane biogenesis ; GO:0045313 | inferred from mutant phenotype <newline> cortical microtubule organization ; GO:0043622 | inferred from mutant phenotype <newline> pole plasm assembly ; GO:0007315 | traceable author statement <newline> oocyte anterior/posterior axis specification ; GO:0007314 | inferred from mutant phenotype <newline> morphogenesis of an epithelium ; GO:0002009 | traceable author statement <newline> regulation of actin cytoskeleton organization ; GO:0032956 | inferred from mutant phenotype <newline> protein localization ; GO:0008104 | traceable author statement <newline> rhabdomere development ; GO:0042052 | inferred from mutant phenotype <newline> establishment or maintenance of epithelial cell apical/basal polarity ; GO:0045197 | inferred from direct assay <newline> positive regulation of cell proliferation ; GO:0008284 | inferred from genetic interaction with conu <newline> photoreceptor cell axon guidance ; GO:0072499 | inferred from mutant phenotype <newline> regulation of membrane potential in photoreceptor cell ; GO:0016057 | inferred from direct assay <newline> actin cytoskeleton organization ; GO:0030036 | inferred from mutant phenotype",cytosol ; GO:0005829 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | colocalizes_with inferred from direct assay <newline> nucleus ; GO:0005634 | colocalizes_with inferred from direct assay <newline> adherens junction ; GO:0005912 | inferred from direct assay <newline> actin cytoskeleton ; GO:0015629 | colocalizes_with inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | non-traceable author statement <newline> spindle ; GO:0005819 | colocalizes_with inferred from direct assay <newline> polytene chromosome puff ; GO:0005703 | inferred from direct assay <newline> subapical complex ; GO:0035003 | traceable author statement <newline> actin filament ; GO:0005884 | colocalizes_with inferred from direct assay <newline> cell cortex ; GO:0005938 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | non-traceable author statement <newline> mitotic spindle midzone ; GO:1990023 | inferred from direct assay <newline> fusome ; GO:0045169 | NOT inferred from direct assay <newline> transcriptionally active chromatin ; GO:0035327 | inferred from direct assay <newline> cleavage furrow ; GO:0032154 | inferred from direct assay <newline> apical plasma membrane ; GO:0016324 | inferred from direct assay,"phosphatidylinositol-4,5-bisphosphate binding ; GO:0005546 | inferred from direct assay <newline> actin binding ; GO:0003779 | non-traceable author statement <newline> actin binding ; GO:0003779 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with Mer <newline> cytoskeletal protein binding ; GO:0008092 | inferred from sequence or structural similarity <newline> protein binding ; GO:0005515 | inferred from physical interaction with conu <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9VTL1 <newline> microtubule binding ; GO:0008017 | inferred from mutant phenotype",X,8898332,8873012,-1,-,Moesin,25-Jan,Moe
FBgn0011692,FBgn0011692,CG1258,64A10-64A11,64B2-64B7 <newline> 64B-64B; (determined by in situ hybridisation) <newline> 64B2-64B14; (determined by in situ hybridisation),3- <newline> 3-18--20 <newline> 3-10 <newline> 3-9.2,ru,h,SO0000010:protein_coding_gene,actomyosin contractile ring assembly ; GO:0000915 | inferred from electronic annotation with InterPro:IPR032924 <newline> plus-end-directed vesicle transport along microtubule ; GO:0072383 | inferred from electronic annotation with InterPro:IPR032924 <newline> somatic muscle development ; GO:0007525 | inferred from mutant phenotype <newline> female meiosis chromosome segregation ; GO:0016321 | inferred from high throughput mutant phenotype <newline> mitotic cytokinesis ; GO:0000281 | inferred from mutant phenotype <newline> regulation of microtubule cytoskeleton organization ; GO:0070507 | inferred from mutant phenotype <newline> peripheral nervous system development ; GO:0007422 | traceable author statement <newline> actomyosin contractile ring assembly ; GO:0000915 | non-traceable author statement <newline> smoothened signaling pathway ; GO:0007224 | inferred from genetic interaction with smo <newline> peripheral nervous system development ; GO:0007422 | non-traceable author statement <newline> actomyosin contractile ring contraction ; GO:0000916 | inferred from mutant phenotype <newline> maintenance of protein location in cell ; GO:0032507 | inferred from mutant phenotype <newline> microtubule bundle formation involved in mitotic spindle midzone assembly ; GO:1903562 | inferred from mutant phenotype <newline> cell fate determination ; GO:0001709 | inferred from mutant phenotype <newline> negative regulation of canonical Wnt signaling pathway ; GO:0090090 | inferred from mutant phenotype inferred from genetic interaction with arm inferred from genetic interaction with tum <newline> mitotic spindle organization ; GO:0007052 | inferred from mutant phenotype <newline> microtubule-based movement ; GO:0007018 | inferred from biological aspect of ancestor with PANTHER:PTN000648413 <newline> microtubule-based movement ; GO:0007018 | inferred from sequence or structural similarity,somatic ring canal ; GO:0098549 | inferred from direct assay <newline> midbody ; GO:0030496 | inferred from direct assay <newline> mitotic spindle midzone ; GO:1990023 | inferred from direct assay <newline> axoneme ; GO:0005930 | inferred from direct assay <newline> nucleus ; GO:0005634 | inferred from direct assay <newline> kinetochore microtubule ; GO:0005828 | inferred from direct assay <newline> contractile ring ; GO:0070938 | inferred from direct assay <newline> centrosome ; GO:0005813 | non-traceable author statement <newline> kinesin complex ; GO:0005871 | inferred from biological aspect of ancestor with PANTHER:PTN000648413 <newline> male germline ring canal ; GO:0035323 | inferred from direct assay <newline> cleavage furrow ; GO:0032154 | inferred from direct assay <newline> female germline ring canal ; GO:0035324 | inferred from direct assay <newline> kinesin complex ; GO:0005871 | inferred from sequence or structural similarity <newline> spindle ; GO:0005819 | non-traceable author statement,"microtubule binding ; GO:0008017 | inferred from electronic annotation with InterPro:IPR001752 <newline> ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR001752, InterPro:IPR019821 <newline> microtubule motor activity ; GO:0003777 | inferred from sequence or structural similarity <newline> ATPase activity ; GO:0016887 | inferred from biological aspect of ancestor with PANTHER:PTN000648413 <newline> microtubule motor activity ; GO:0003777 | inferred from biological aspect of ancestor with PANTHER:PTN000648413",3L,4246233,4242734,1,-,pavarotti,10-Mar,pav
FBgn0011693,FBgn0011693,CG4899,72E2-72E2,72E-72E; (determined by in situ hybridisation),3-44 <newline> 3-38.6,-,-,SO0000010:protein_coding_gene,oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR002424 <newline> retinol metabolic process ; GO:0042572 | inferred from mutant phenotype <newline> retinal metabolic process ; GO:0042574 | inferred from mutant phenotype,-,alcohol dehydrogenase (NAD) activity ; GO:0004022 | inferred from electronic annotation with InterPro:IPR002424 <newline> retinol dehydrogenase activity ; GO:0004745 | inferred from mutant phenotype,3L,16354297,16353233,-1,-,Photoreceptor dehydrogenase,Mar-44,Pdh
FBgn0011695,FBgn0011695,CG11390,60B4-60B4,-,2-106 <newline> 2-109.9,-,-,SO0000010:protein_coding_gene,response to virus ; GO:0009615 | inferred from expression pattern <newline> post-mating behavior ; GO:0045297 | inferred from sequence or structural similarity with UniProtKB:Q9U6L5 <newline> metamorphosis ; GO:0007552 | inferred from expression pattern,extracellular region ; GO:0005576 | non-traceable author statement <newline> extracellular region ; GO:0005576 | inferred from sequence model <newline> extracellular region ; GO:0005576 | inferred from direct assay,-,2R,24027518,24026172,1,-,Ejaculatory bulb protein III,2-106,EbpIII
FBgn0011701,FBgn0011701,CG31240,90F9-90F10,90F1-90F2; (determined by in situ hybridisation) <newline> 90F-90F; (determined by in situ hybridisation) <newline> 90F1-90F2,3-62 <newline> 3-61.9,-,-,SO0000010:protein_coding_gene,"regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970 <newline> nervous system development ; GO:0007399 | inferred from mutant phenotype <newline> synapse organization ; GO:0050808 | inferred from mutant phenotype <newline> glial cell differentiation ; GO:0010001 | non-traceable author statement <newline> regulation of phagocytosis ; GO:0050764 | inferred from mutant phenotype inferred from genetic interaction with drpr inferred from genetic interaction with NimC4 <newline> positive regulation of gene expression ; GO:0010628 | inferred from direct assay <newline> glial cell development ; GO:0021782 | inferred from mutant phenotype <newline> peripheral nervous system development ; GO:0007422 | inferred from mutant phenotype <newline> synaptic growth at neuromuscular junction ; GO:0051124 | inferred from mutant phenotype",nucleus ; GO:0005634 | inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; GO:0001077 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay",3R,18239602,18236192,1,regulatory_region FBsf0000161245 3R:18233628..18233636 comment=consensus gcm-binding sequence evidence=experimental <newline> regulatory_region FBsf0000161246 3R:18233904..18233912 evidence=experimental comment=consensus gcm-binding sequence <newline> regulatory_region FBsf0000161247 3R:18234112..18234123 evidence=experimental comment=consensus gcm-binding sequence <newline> regulatory_region FBsf0000161248 3R:18234722..18234733 comment=consensus gcm-binding sequence evidence=experimental <newline> regulatory_region FBsf0000161249 3R:18234845..18234856 comment=consensus gcm-binding sequence evidence=experimental <newline> regulatory_region FBsf0000161250 3R:18235039..18235050 comment=site of consensus gcm-binding sequence evidence=experimental <newline> regulatory_region FBsf0000435182 3R:18231883..18234263 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435373 3R:18233678..18233795 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435544 3R:18235076..18236094 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435611 3R:18233794..18236094 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435705 3R:18231883..18233795 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000435878 3R:18233867..18233965 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436099 3R:18231883..18235405 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436555 3R:18234262..18236094 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436570 3R:18235091..18235128 evidence=Reporter construct (in vivo) <newline> regulatory_region FBsf0000436594 3R:18235076..18235264 evidence=Reporter construct (in vivo),reversed polarity,Mar-62,repo
FBgn0011703,FBgn0011703,CG5371,31D8-31D8,31D-31D <newline> 31D-31D; (determined by in situ hybridisation) <newline> 31D8-31D9,2-41 <newline> 2-35.2,-,-,SO0000010:protein_coding_gene,"oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR000788, InterPro:IPR013346, InterPro:IPR013509 <newline> DNA replication ; GO:0006260 | inferred from electronic annotation with InterPro:IPR000788, InterPro:IPR013509 <newline> activation of cysteine-type endopeptidase activity involved in apoptotic process ; GO:0006919 | inferred from mutant phenotype <newline> deoxyribonucleotide biosynthetic process ; GO:0009263 | inferred from sequence or structural similarity with UniProtKB:P07742 <newline> tissue regeneration ; GO:0042246 | inferred from mutant phenotype",-,"ATP binding ; GO:0005524 | inferred from electronic annotation with InterPro:IPR013509 <newline> ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor ; GO:0004748 | inferred from sequence or structural similarity with UniProtKB:P07742",2L,10327943,10325026,-1,-,Ribonucleoside diphosphate reductase large subunit,Feb-41,RnrL
FBgn0011704,FBgn0011704,CG8975,48D5-48D5,48D-48D; (determined by in situ hybridisation),2-65 <newline> 2-66.3,-,-,SO0000010:protein_coding_gene,"oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR000358, InterPro:IPR012348 <newline> activation of cysteine-type endopeptidase activity involved in apoptotic process ; GO:0006919 | inferred from mutant phenotype <newline> deoxyribonucleotide biosynthetic process ; GO:0009263 | inferred from biological aspect of ancestor with PANTHER:PTN001158161",ribonucleoside-diphosphate reductase complex ; GO:0005971 | inferred from biological aspect of ancestor with PANTHER:PTN001158161,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor ; GO:0004748 | inferred from biological aspect of ancestor with PANTHER:PTN001158161",2R,11985393,11983145,-1,-,Ribonucleoside diphosphate reductase small subunit,Feb-65,RnrS
FBgn0011705,FBgn0011705,CG9552,29F6-29F7,29F-30A; (determined by in situ hybridisation) <newline> 30A-30A; (determined by in situ hybridisation),2- <newline> 2-34 <newline> 2-29.6,-,-,SO0000010:protein_coding_gene,myoblast fusion ; GO:0007520 | traceable author statement <newline> myoblast fusion ; GO:0007520 | inferred from mutant phenotype,membrane ; GO:0016020 | inferred from direct assay,molecular_function ; GO:0003674 | no biological data available,2L,8989539,8985936,-1,-,rolling stone,Feb-34,rost
FBgn0011710,FBgn0011710,CG1403,19F5-19F5,19F4-19F5; (determined by in situ hybridisation),1- <newline> 1-65 <newline> 1-66.0,-,-,SO0000010:protein_coding_gene,cellularization ; GO:0007349 | traceable author statement <newline> mitotic cytokinesis ; GO:0000281 | inferred from sequence or structural similarity <newline> positive regulation of apoptotic process ; GO:0043065 | inferred from direct assay,"septin complex ; GO:0031105 | inferred from physical interaction with Sep1, pnut <newline> septin complex ; GO:0031105 | inferred from physical interaction with pnut, Sep2 <newline> septin ring ; GO:0005940 | inferred from sequence or structural similarity <newline> septin complex ; GO:0031105 | inferred from direct assay <newline> contractile ring ; GO:0070938 | colocalizes_with inferred from high throughput direct assay",protein homodimerization activity ; GO:0042803 | inferred from direct assay <newline> GTP binding ; GO:0005525 | inferred from direct assay <newline> GTPase activity ; GO:0003924 | inferred from sequence or structural similarity with pnut <newline> GTPase activity ; GO:0003924 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with sip2 <newline> ubiquitin protein ligase binding ; GO:0031625 | inferred from physical interaction with park,X,21361688,21358286,1,-,Septin 1,Jan-65,1-Sep
FBgn0011763,FBgn0011763,CG4654,49F10-49F11,50A1-50A5 <newline> 49F-49F <newline> 49F-49F; (determined by in situ hybridisation) <newline> 50A1-50A4; (determined by in situ hybridisation),2-68 <newline> 2-71.9,-,-,SO0000010:protein_coding_gene,"regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR003316 <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> dorsal/ventral axis specification, ovarian follicular epithelium ; GO:0008069 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> endomitotic cell cycle ; GO:0007113 | traceable author statement <newline> positive regulation of nurse cell apoptotic process ; GO:0045850 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | non-traceable author statement <newline> eggshell chorion gene amplification ; GO:0007307 | traceable author statement <newline> nurse cell apoptotic process ; GO:0045476 | traceable author statement <newline> intrinsic apoptotic signaling pathway in response to DNA damage ; GO:0008630 | inferred from mutant phenotype",Rb-E2F complex ; GO:0035189 | inferred from direct assay <newline> Myb complex ; GO:0031523 | inferred from direct assay,"RNA polymerase II transcription factor activity, sequence-specific DNA binding ; GO:0000981 | contributes_to inferred from physical interaction with E2f1 <newline> sequence-specific DNA binding ; GO:0043565 | contributes_to inferred from physical interaction with E2f1 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with E2f1 <newline> transcription factor binding ; GO:0008134 | inferred from physical interaction with Rbf inferred from physical interaction with Rbf2 <newline> DNA binding ; GO:0003677 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with Rbf",2R,13228202,13222433,1,-,DP transcription factor,Feb-68,Dp
FBgn0011828,FBgn0011828,CG12002,62E7-62E7,62E8-62F2,3- <newline> 3-3 <newline> 3-5.3,-,-,SO0000010:protein_coding_gene,oxidation-reduction process ; GO:0055114 | inferred from electronic annotation with InterPro:IPR010255 <newline> response to oxidative stress ; GO:0006979 | inferred from electronic annotation with InterPro:IPR010255 <newline> phagocytosis ; GO:0006909 | inferred from mutant phenotype <newline> extracellular matrix organization ; GO:0030198 | inferred from mutant phenotype,proteinaceous extracellular matrix ; GO:0005578 | inferred from sequence or structural similarity <newline> extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN000895746,heme binding ; GO:0020037 | inferred from electronic annotation with InterPro:IPR010255 <newline> peroxidase activity ; GO:0004601 | inferred from biological aspect of ancestor with PANTHER:PTN000158755,3L,2630064,2601455,-1,-,Peroxidasin,3-Mar,Pxn
FBgn0012037,FBgn0012037,CG8827,34E2-34E2,34E-34E; (determined by in situ hybridisation) <newline> 34A-34A; (determined by in situ hybridisation),2- <newline> 2-45.3 <newline> 2-50,-,-,SO0000010:protein_coding_gene,proteolysis ; GO:0006508 | inferred from direct assay <newline> sperm individualization ; GO:0007291 | inferred from mutant phenotype <newline> spermatid nucleus differentiation ; GO:0007289 | inferred from mutant phenotype <newline> metamorphosis ; GO:0007552 | inferred from expression pattern <newline> response to symbiotic bacterium ; GO:0009609 | inferred from expression pattern inferred from mutant phenotype,membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR001548 <newline> extracellular space ; GO:0005615 | inferred from direct assay,metallopeptidase activity ; GO:0008237 | inferred from electronic annotation with InterPro:IPR001548 <newline> peptidyl-dipeptidase activity ; GO:0008241 | inferred from direct assay,2L,13909212,13905645,1,protein_binding_site FBsf0000159861 2L:13905144..13905161 bound_moiety=zen-XP evidence=experimental <newline> protein_binding_site FBsf0000159740 2L:13905233..13905259 bound_moiety=zen-XP evidence=experimental <newline> regulatory_region FBsf0000161325 2L:13904732..13905265 comment=The Ance enhancer element directs lacZ reporter expression in an endogenous pattern. The element was mapped to a ClaI-XhoI restriction fragment; position of restriction fragment on reference sequence inferred by FlyBase curator evidence=experimental linked_to=ClaI-XhoI_rfrag <newline> protein_binding_site FBsf0000159977 2L:13905029..13905048 bound_moiety=zen-XP evidence=experimental <newline> regulatory_region FBsf0000436458 2L:13904732..13905265 evidence=Reporter construct (in vivo),Angiotensin converting enzyme,Feb-50,Ance
FBgn0013269,FBgn0013269,CG6226,88F1-88F1,-,3-57 <newline> 3-56.1,-,-,SO0000010:protein_coding_gene,histone peptidyl-prolyl isomerization ; GO:0000412 | inferred from electronic annotation with InterPro:IPR026257 <newline> negative regulation of macroautophagy ; GO:0016242 | inferred from mutant phenotype <newline> negative regulation of autophagy ; GO:0010507 | inferred from mutant phenotype <newline> juvenile hormone mediated signaling pathway ; GO:0035626 | inferred from mutant phenotype,nucleolus ; GO:0005730 | inferred from electronic annotation with InterPro:IPR026257 <newline> heterochromatin ; GO:0000792 | inferred from direct assay,peptidyl-prolyl cis-trans isomerase activity ; GO:0003755 | inferred from electronic annotation with InterPro:IPR026257 <newline> juvenile hormone response element binding ; GO:0070594 | inferred from direct assay <newline> FK506 binding ; GO:0005528 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with Chd64,3R,15333133,15331584,-1,-,FK506-binding protein 1,Mar-57,FK506-bp1
FBgn0013272,FBgn0013272,CG5820,58D3-58D3,58D1-58D3 <newline> 58D1-58D8,2- <newline> 2-99 <newline> 2-104.1,-,-,SO0000010:protein_coding_gene,compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> transmembrane receptor protein tyrosine phosphatase signaling pathway ; GO:0007185 | inferred from direct assay,plasma membrane ; GO:0005886 | inferred from direct assay,-,2R,22329416,22317662,1,-,Gp150,Feb-99,Gp150
FBgn0013305,FBgn0013305,CG3798,49D6-49D7,49D-49D,2- <newline> 2-67 <newline> 2-70.7,-,-,SO0000010:protein_coding_gene,regulation of glucose metabolic process ; GO:0010906 | inferred from mutant phenotype,-,-,2R,12880230,12877094,-1,-,N-methyl-D-aspartate receptor-associated protein,Feb-67,Nmda1
FBgn0013334,FBgn0013334,CG8884,89A8-89A8,89A8-89B3; (determined by in situ hybridisation),3- <newline> 3-58 <newline> 3-57.8,-,-,SO0000010:protein_coding_gene,associative learning ; GO:0008306 | inferred from mutant phenotype <newline> regulation of short-term neuronal synaptic plasticity ; GO:0048172 | inferred from direct assay <newline> chemical synaptic transmission ; GO:0007268 | non-traceable author statement,synapse ; GO:0045202 | inferred from direct assay,molecular_function ; GO:0003674 | no biological data available,3R,15962124,15935100,1,-,Synapse-associated protein 47kD,Mar-58,Sap47
FBgn0013342,FBgn0013342,CG17248,62A9-62A9,62A-62B <newline> 62A-62A,3- <newline> 3-0.5 <newline> 3-2.5,-,-,SO0000010:protein_coding_gene,exocytosis ; GO:0006887 | inferred from biological aspect of ancestor with PANTHER:PTN000473885 <newline> vesicle-mediated transport ; GO:0016192 | inferred from sequence or structural similarity <newline> vesicle-mediated transport ; GO:0016192 | non-traceable author statement <newline> neurotransmitter secretion ; GO:0007269 | non-traceable author statement <newline> vesicle fusion ; GO:0006906 | inferred from direct assay <newline> synaptic vesicle docking ; GO:0016081 | inferred from sequence or structural similarity,integral component of membrane ; GO:0016021 | inferred from electronic annotation with InterPro:IPR001388 <newline> synaptic vesicle ; GO:0008021 | colocalizes_with inferred from direct assay <newline> terminal bouton ; GO:0043195 | inferred from direct assay <newline> plasma membrane ; GO:0005886 | inferred from direct assay <newline> SNARE complex ; GO:0031201 | inferred from direct assay <newline> synaptic vesicle ; GO:0008021 | non-traceable author statement <newline> plasma membrane ; GO:0005886 | non-traceable author statement <newline> synaptic vesicle ; GO:0008021 | inferred from sequence or structural similarity <newline> presynaptic active zone ; GO:0048786 | colocalizes_with inferred from direct assay <newline> synaptic vesicle ; GO:0008021 | inferred from direct assay,"SNAP receptor activity ; GO:0005484 | inferred from sequence or structural similarity <newline> SNAP receptor activity ; GO:0005484 | inferred from direct assay <newline> SNARE binding ; GO:0000149 | inferred from physical interaction with Snap25, Syx1A <newline> SNAP receptor activity ; GO:0005484 | non-traceable author statement",3L,1637752,1630348,-1,-,neuronal Synaptobrevin,3-0.5,nSyb
FBgn0013348,FBgn0013348,CG2981,41D1-41D1,41C-41C; (determined by in situ hybridisation),2-55 <newline> 2-55.5,-,-,SO0000010:protein_coding_gene,-,-,calcium ion binding ; GO:0005509 | inferred from electronic annotation with InterPro:IPR002048,2R,5070210,5065237,-1,-,Troponin C at 41C,Feb-55,TpnC41C
FBgn0013548,FBgn0013548,CG11295,59F6-59F6,59F5-59F5 <newline> 59F5-59F5; (determined by in situ hybridisation),2- <newline> 2-104 <newline> 2-108.8,-,-,SO0000010:protein_coding_gene,-,nucleus ; GO:0005634 | inferred from direct assay,-,2R,23705403,23702477,1,-,lethal-(2)-denticleless,2-104,l(2)dtl
