#SUBMITTED ID,FBID_KEY,ANNOTATION_SYMBOL,CYTOGENETIC_MAP,EXPERIMENTAL_CYTOLOGY,EXPERIMENTAL_RECOMBINATION_DATA,EXPERIMENTAL_RECOMBINATION_LEFT_OF,EXPERIMENTAL_RECOMBINATION_NOTE,EXPERIMENTAL_RECOMBINATION_RIGHT_OF,FEATURE_TYPE,GO_BIOLOGICAL_PROCESS,GO_CELLULAR_COMPONENT,GO_MOLECULAR_FUNCTION,LOCATION_ARM,LOCATION_MAX,LOCATION_MIN,LOCATION_STRAND,MAPPED_FEATURES_MUTATIONS,NAME,RECOMBINATION_MAP,SYMBOL
FBgn0001291,FBgn0001291,CG2275,46E4-46E5,46E-46E; (determined by in situ hybridisation),2-60 <newline> 2-62 <newline> 2-60.2,-,-,-,SO0000010:protein_coding_gene,"response to drug ; GO:0042493 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> multicellular organism aging ; GO:0010259 | inferred from mutant phenotype <newline> micropyle formation ; GO:0046844 | inferred from mutant phenotype <newline> dorsal closure ; GO:0007391 | traceable author statement <newline> positive regulation of cell differentiation ; GO:0045597 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> regulation of cell proliferation ; GO:0042127 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> response to cAMP ; GO:0051591 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> negative regulation of transcription from RNA polymerase II promoter ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000894784 <newline> response to lipopolysaccharide ; GO:0032496 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> JNK cascade ; GO:0007254 | traceable author statement <newline> regulation of cell death ; GO:0010941 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> dorsal appendage formation ; GO:0046843 | inferred from mutant phenotype <newline> response to radiation ; GO:0009314 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> positive regulation of transcription from RNA polymerase II promoter ; GO:0045944 | inferred from direct assay <newline> response to cytokine ; GO:0034097 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> MAPK cascade ; GO:0000165 | traceable author statement <newline> response to mechanical stimulus ; GO:0009612 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> negative regulation of antimicrobial humoral response ; GO:0008348 | inferred from mutant phenotype inferred from genetic interaction with Rel <newline> dorsal closure ; GO:0007391 | inferred from mutant phenotype inferred from genetic interaction with bsk <newline> R3/R4 cell fate commitment ; GO:0007464 | traceable author statement <newline> positive regulation of heart contraction ; GO:0045823 | inferred from mutant phenotype <newline> synaptic growth at neuromuscular junction ; GO:0051124 | inferred from genetic interaction with kay <newline> wound healing ; GO:0042060 | inferred from mutant phenotype <newline> regulation of cell cycle ; GO:0051726 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> establishment of planar polarity ; GO:0001736 | non-traceable author statement <newline> cellular response to hormone stimulus ; GO:0032870 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> JNK cascade ; GO:0007254 | inferred from mutant phenotype inferred from genetic interaction with bsk inferred from genetic interaction with hep inferred from genetic interaction with Rac1 <newline> imaginal disc fusion, thorax closure ; GO:0046529 | inferred from mutant phenotype",nucleus ; GO:0005634 | colocalizes_with inferred from direct assay <newline> cytoplasm ; GO:0005737 | colocalizes_with inferred from direct assay <newline> cytoplasm ; GO:0005737 | inferred from direct assay <newline> nuclear chromatin ; GO:0000790 | inferred from biological aspect of ancestor with PANTHER:PTN000894784 <newline> transcription factor complex ; GO:0005667 | inferred from physical interaction with kay <newline> nucleus ; GO:0005634 | inferred from direct assay,"protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:A8MPH9 <newline> protein binding ; GO:0005515 | inferred from physical interaction with chm <newline> RNA polymerase II core promoter proximal region sequence-specific DNA binding ; GO:0000978 | inferred from biological aspect of ancestor with PANTHER:PTN000894784 <newline> protein binding ; GO:0005515 | inferred from physical interaction with Atf3 <newline> transcription coactivator activity ; GO:0003713 | inferred from biological aspect of ancestor with PANTHER:PTN000894785 <newline> protein binding ; GO:0005515 | inferred from physical interaction with Cka <newline> RNA polymerase II transcription factor activity, sequence-specific DNA binding ; GO:0000981 | inferred from direct assay <newline> protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with kay",2R,10098556,10096480,1,enhancer FBsf0000161134 2R:10096552..10096558 comment=Description: Jun-related antigen; putative evidence=experimental standard_name=ecdysone site comment=From GB: L33044. Putative ecdysone site at bases 33-38 in L33044. <newline> enhancer FBsf0000161136 2R:10096543..10096549 comment=Description: Jun-related antigen; putative evidence=experimental standard_name=ecdysone site comment=From GenBank:L33044. Ecdysone site at bases 23-28 in L33044. <newline> enhancer FBsf0000161137 2R:10096634..10096640 comment=Description: Jun-related antigen; putative evidence=experimental standard_name=ecdysone site comment=From GenBank:L33044. Ecdysone site at bases 114-119 in L33044. <newline> enhancer FBsf0000161138 2R:10096832..10096839 evidence=experimental standard_name=AP-1 comment=Description: Jun-related antigen; putative comment=From GenBank:L33044. AP-1 binding site at bases 336-342 in L33044. <newline> enhancer FBsf0000161139 2R:10096855..10096863 comment=Description: Jun-related antigen; putative evidence=experimental standard_name=AP-1 comment=From GenBank:L33044. Putative AP-1 binding site at bases 359-366 in L33044. <newline> enhancer FBsf0000161140 2R:10096908..10096916 evidence=experimental standard_name=DTF-1 comment=Description: Jun-related antigen; putative comment=Putative Dtf-1 binding site. Binding site from FBrf0076455. Site is offset by one base from enhancer feature in GB:L33044. <newline> protein_binding_site FBsf0000160589 2R:10096907..10096930 evidence=experimental,Jun-related antigen,Feb-62,Jra
FBgn0002609,FBgn0002609,CG8346,96F10-96F10,96F11-96F14,3-89.1 <newline> 3-89 <newline> 3-87.4,-,-,-,SO0000010:protein_coding_gene,"regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR003650 <newline> positive regulation of neuroblast proliferation ; GO:0002052 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | traceable author statement",-,"protein dimerization activity ; GO:0046983 | inferred from electronic annotation with InterPro:IPR011598 <newline> sequence-specific double-stranded DNA binding ; GO:1990837 | inferred from direct assay <newline> transcription factor activity, sequence-specific DNA binding ; GO:0003700 | traceable author statement <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay",3R,26023127,26021823,1,-,"Enhancer of split m3, helix-loop-helix",Mar-89,E(spl)m3-HLH
FBgn0002773,FBgn0002773,CG2184,99E1-99E1,99E-99F; (determined by in situ hybridisation) <newline> 99E1-99E3; (determined by in situ hybridisation) <newline> 99E-99E; (determined by in situ hybridisation),3-100 <newline> 3-97.7,-,-,-,SO0000010:protein_coding_gene,myofibril assembly ; GO:0030239 | inferred from mutant phenotype <newline> flight ; GO:0060361 | inferred from mutant phenotype <newline> muscle system process ; GO:0003012 | inferred from mutant phenotype,myofibril ; GO:0030016 | inferred from mutant phenotype <newline> myosin complex ; GO:0016459 | inferred from sequence or structural similarity,calcium ion binding ; GO:0005509 | inferred from electronic annotation with InterPro:IPR002048,3R,30174551,30171438,-1,regulatory_region FBsf0000435205 3R:30174547..30176026 evidence=Reporter construct (in vivo),Myosin light chain 2,3-100,Mlc2
FBgn0002789,FBgn0002789,CG4696,49F13-49F13,49F9-49F13; (determined by in situ hybridisation),2-68 <newline> 2-71.9,-,-,-,SO0000010:protein_coding_gene,myoblast fusion ; GO:0007520 | inferred from mutant phenotype <newline> regulation of myoblast fusion ; GO:1901739 | inferred from mutant phenotype,-,actin binding ; GO:0003779 | inferred from sequence or structural similarity,2R,13248880,13246670,1,-,Muscle protein 20,Feb-68,Mp20
FBgn0002939,FBgn0002939,CG31783,36E3-36E3,-,2-53 <newline> 2-53.2,-,-,-,SO0000010:protein_coding_gene,"phototransduction ; GO:0007602 | inferred from mutant phenotype <newline> phototransduction, UV ; GO:0007604 | inferred from mutant phenotype <newline> phototransduction, visible light ; GO:0007603 | inferred from mutant phenotype <newline> rhodopsin biosynthetic process ; GO:0016063 | inferred from mutant phenotype <newline> carotenoid transport ; GO:0046867 | inferred from sequence or structural similarity inferred from mutant phenotype",membrane ; GO:0016020 | inferred from electronic annotation with InterPro:IPR002159,scavenger receptor activity ; GO:0005044 | inferred from sequence or structural similarity inferred from mutant phenotype,2L,18083608,18081628,1,-,neither inactivation nor afterpotential D,Feb-53,ninaD
FBgn0003067,FBgn0003067,CG17725,55D3-55D3,-,2-86 <newline> 2-90.2,-,-,-,SO0000010:protein_coding_gene,gluconeogenesis ; GO:0006094 | inferred from sequence or structural similarity with UniProtKB:Q16822,mitochondrion ; GO:0005739 | inferred from sequence or structural similarity with UniProtKB:Q16822,GTP binding ; GO:0005525 | inferred from electronic annotation with InterPro:IPR008209 <newline> phosphoenolpyruvate carboxykinase (GTP) activity ; GO:0004613 | inferred from sequence or structural similarity with UniProtKB:Q16822,2R,18539416,18536767,1,-,Phosphoenolpyruvate carboxykinase,Feb-86,Pepck
FBgn0003356,FBgn0003356,CG31034,99C7-99C7,99C-99D; (determined by in situ hybridisation) <newline> 99C-99C; (determined by in situ hybridisation),3-[101] <newline> 3-99 <newline> 3-97.2,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from sequence model",3R,29924615,29923754,-1,-,Jonah 99Cii,Mar-99,Jon99Cii
FBgn0003357,FBgn0003357,CG31362,99C7-99C7,99C-99C; (determined by in situ hybridisation),3-[101] <newline> 3-99 <newline> 3-97.2,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from sequence model",3R,29923455,29922216,1,-,Jonah 99Ciii,Mar-99,Jon99Ciii
FBgn0003358,FBgn0003358,CG31039,99C7-99C7,99C-99C; (determined by in situ hybridisation),3-[101] <newline> 3-99 <newline> 3-97.2,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> proteolysis ; GO:0006508 | inferred from sequence model",-,"serine-type endopeptidase activity ; GO:0004252 | inferred from electronic annotation with InterPro:IPR001254, InterPro:IPR001314, InterPro:IPR018114 <newline> endopeptidase activity ; GO:0004175 | inferred from sequence model",3R,29926189,29925226,-1,-,Jonah 99Ci,Mar-99,Jon99Ci
FBgn0004431,FBgn0004431,CG9120,61F3-61F3,-,3-0 <newline> 3-1.3,-,-,-,SO0000010:protein_coding_gene,defense response to Gram-negative bacterium ; GO:0050829 | inferred from biological aspect of ancestor with PANTHER:PTN001685984 <newline> cell wall macromolecule catabolic process ; GO:0016998 | inferred from biological aspect of ancestor with PANTHER:PTN001685978 <newline> defense response to Gram-positive bacterium ; GO:0050830 | inferred from biological aspect of ancestor with PANTHER:PTN001685984 <newline> defense response to Gram-negative bacterium ; GO:0050829 | inferred from sequence or structural similarity with UniProtKB:P00697,extracellular space ; GO:0005615 | inferred from biological aspect of ancestor with PANTHER:PTN001685978 <newline> extracellular space ; GO:0005615 | inferred from sequence or structural similarity with UniProtKB:C1BF55,lysozyme activity ; GO:0003796 | inferred from biological aspect of ancestor with PANTHER:PTN001685978 <newline> lysozyme activity ; GO:0003796 | inferred from sequence or structural similarity with UniProtKB:P00697 <newline> lysozyme activity ; GO:0003796 | inferred from sequence or structural similarity,3L,1195302,1194739,-1,-,Lysozyme X,Mar-00,LysX
FBgn0004598,FBgn0004598,CG18734,14C1-14C2,14C-14C; (determined by in situ hybridisation),1-53 <newline> 1-54.5,-,-,-,SO0000010:protein_coding_gene,"proteolysis ; GO:0006508 | inferred from electronic annotation with InterPro:IPR000209, InterPro:IPR002884 <newline> negative regulation of secretion ; GO:0051048 | inferred from genetic interaction with Pgant4",plasma membrane ; GO:0005886 | inferred from sequence or structural similarity with Fur1,serine-type endopeptidase activity ; GO:0004252 | inferred from genetic interaction with Fur1 <newline> serine-type endopeptidase activity ; GO:0004252 | inferred from direct assay,X,16381782,16373086,1,-,Furin 2,Jan-53,Fur2
